f1;f2;f3;f4;f5;f6;f7;Fichero
0.161964;4.35994e-06;4.6057e-05;2.70515e-06;3.01204e-11;5.0011e-09;-2.12257e-12;train/apple-1.png
0.236366;0.000104999;0.010997;7.62368e-05;-3.18069e-08;6.96863e-07;-6.21369e-08;train/device8-3.png
0.15918;7.9458e-06;2.94561e-10;2.17417e-14;5.48494e-26;5.95865e-17;4.34017e-27;train/device9-20.png
0.187058;0.00320355;5.35557e-05;1.3664e-05;-6.23788e-11;4.87833e-07;3.6433e-10;train/Misk-9.png
0.176794;1.76067e-06;6.2603e-07;1.83556e-09;-1.57708e-17;8.47222e-13;-6.01911e-17;train/device1-10.png
0.470725;0.0361286;0.101588;0.00029124;-1.26778e-06;-5.1849e-05;-9.49884e-07;train/device8-9.png
0.429395;0.127561;0.00138112;0.00101771;1.20222e-06;0.000359972;-1.02348e-07;train/carriage-19.png
0.167988;1.89532e-06;5.95139e-06;4.16973e-07;-5.67159e-13;4.36326e-10;3.3135e-13;train/device3-19.png
0.213953;0.00332745;0.0029969;0.000369278;3.86984e-07;2.09728e-05;-3.40369e-08;train/fly-15.png
0.168402;1.47556e-06;1.45787e-07;7.6221e-09;2.5017e-16;6.64221e-12;4.44009e-17;train/device9-4.png
0.173256;0.000407812;0.000388617;1.20984e-05;5.96224e-10;-2.39543e-07;-5.7681e-10;train/cup-3.png
0.250524;0.0331159;0.00117179;0.000246729;1.2263e-07;3.32659e-05;5.06154e-08;train/car-06.png
0.205331;0.001334;0.000680089;8.32127e-05;3.81765e-09;-4.28805e-07;1.94239e-08;train/camel-14.png
0.981104;0.888718;0.00320909;0.0011919;2.30486e-06;0.00107146;-3.4851e-07;train/Bone-11.png
0.226292;0.0208685;0.000396578;0.000143296;3.0337e-08;1.75483e-05;-1.57019e-08;train/turtle-7.png
0.32189;0.0398163;0.0204005;0.00158962;7.45824e-08;-7.29971e-05;9.05199e-06;train/bat-20.png
0.26043;0.0395761;0.000217664;6.63385e-05;7.13685e-09;7.26065e-06;-3.55114e-09;train/cellular_phone-10.png
0.234944;0.00625221;0.00135691;0.000105179;3.97302e-08;8.31572e-06;-5.88695e-10;train/pocket-3.png
0.177175;3.66808e-05;0.00198013;5.35723e-06;-2.74625e-11;-3.23414e-08;5.51084e-10;train/device4-3.png
0.184498;0.00142084;0.000917215;6.46759e-06;3.04925e-10;2.33051e-07;3.93907e-10;train/teddy-15.png
0.162157;0.000375112;2.46252e-05;4.86966e-07;1.52519e-12;-9.33618e-09;7.19338e-13;train/apple-19.png
0.193733;0.00500104;0.00157586;0.000137515;6.34553e-08;9.13667e-06;8.44721e-09;train/frog-11.png
0.184342;0.00124445;0.0011465;7.02843e-06;6.26363e-10;2.42436e-07;7.5706e-11;train/teddy-10.png
0.220569;0.00615983;0.00113081;2.50321e-05;-1.60501e-09;-1.2723e-06;-3.8937e-09;train/camel-12.png
0.373625;0.0158105;0.00140365;0.0029645;-5.43601e-06;-0.000366138;-2.64934e-06;train/lizzard-20.png
0.297927;0.0432125;0.000534205;9.57955e-05;1.58923e-08;1.21161e-05;-1.47327e-08;train/cattle-2.png
0.79267;0.577184;0.0874971;0.0761262;0.00621151;0.0573987;0.000133954;train/spoon-10.png
0.377165;0.0940463;0.0464;0.0307509;0.00116152;0.0094268;1.07186e-05;train/guitar-11.png
0.166363;0.000148505;2.06541e-06;1.78476e-07;1.40377e-14;6.3052e-10;1.07448e-13;train/device9-17.png
0.216538;0.0083322;0.00240637;1.9585e-05;4.44801e-10;-9.50218e-07;4.22841e-09;train/fountain-14.png
0.189379;0.00922248;2.43662e-05;5.16302e-07;8.17877e-13;4.95649e-08;1.63847e-12;train/octopus-11.png
0.225004;2.44271e-05;0.00740023;6.4704e-06;9.91454e-10;3.19631e-08;-1.01078e-09;train/device4-19.png
0.296229;0.0255443;0.0142255;0.000897943;-3.18892e-06;-0.000142352;-3.60966e-07;train/bird-13.png
0.184783;0.000490846;0.000499022;0.000187333;5.71781e-08;2.88231e-06;3.36388e-09;train/ray-6.png
1.26978;1.26231;0.174077;0.0931099;0.0118417;0.104611;-0.000538952;train/spring-16.png
0.263957;9.45571e-05;0.0255005;4.96293e-06;-1.68208e-09;5.89428e-09;-5.36472e-10;train/device4-11.png
0.204665;0.00530056;0.00199184;2.20053e-05;3.58153e-09;-1.44683e-06;2.89779e-09;train/fountain-07.png
0.208868;0.0105105;0.00117958;0.000487486;3.51299e-07;4.97508e-05;1.1507e-07;train/chopper-10.png
0.341709;0.0100092;0.0154178;0.00983055;0.000117082;0.000944748;-3.0645e-05;train/lizzard-12.png
0.192691;0.00133824;0.000282837;0.000132059;-2.44328e-08;4.82212e-06;7.37776e-09;train/octopus-20.png
0.326366;0.0364254;0.00567087;0.000238593;1.31277e-07;4.52331e-05;2.44519e-07;train/horse-19.png
0.197681;0.000992903;0.000990403;0.000515255;3.67889e-07;1.62128e-05;-1.17826e-08;train/ray-4.png
0.287821;0.0313073;0.00420894;0.000112746;-1.69519e-08;-9.08677e-06;7.57944e-08;train/dog-18.png
0.254762;0.000204745;0.000330275;0.000257755;7.29407e-08;-9.37543e-07;-1.83157e-08;train/octopus-13.png
0.170673;0.000151436;0.000111855;2.09679e-05;-3.68237e-10;2.24867e-07;9.46335e-10;train/octopus-2.png
0.48687;0.188996;0.0601249;0.0449161;0.00233386;0.0195026;-3.73998e-05;train/guitar-8.png
0.261505;0.0238954;0.000995189;8.74651e-06;8.1439e-10;-8.33067e-07;5.1678e-11;train/cattle-20.png
0.40494;0.108417;0.00562124;0.00405391;1.93005e-05;0.00132035;-1.41207e-06;train/carriage-08.png
0.191862;0.00669755;0.00165575;7.03847e-05;-2.11211e-08;-4.76919e-06;1.14559e-08;train/hat-2.png
0.165829;0.000185141;0.000202546;8.15852e-06;2.96009e-10;6.72338e-08;1.49566e-10;train/apple-18.png
0.421819;0.125175;0.00320148;0.00326751;1.0567e-05;0.00115601;-1.62486e-07;train/carriage-04.png
0.183496;0.000124864;0.000836676;0.000143557;4.96562e-08;-1.57385e-06;-3.09308e-09;train/ray-17.png
0.260672;0.0405751;0.000515014;7.25834e-05;5.20981e-09;1.06731e-06;1.30306e-08;train/personal_car-6.png
0.197705;0.000990708;0.000990107;0.000515911;3.68509e-07;1.62145e-05;1.26503e-08;train/ray-5.png
0.269904;0.0440966;0.000297844;0.000114222;2.01644e-08;1.60683e-05;-6.10317e-09;train/cellular_phone-8.png
0.200401;9.99125e-05;2.5643e-05;4.8633e-06;-4.01548e-12;-1.86079e-08;5.41615e-11;train/device3-8.png
0.267736;0.0245264;0.00545726;0.000385899;-4.63578e-07;-5.49228e-05;3.14181e-07;train/butterfly-8.png
0.391302;6.20557e-05;1.46912e-05;1.59573e-05;1.59574e-10;-7.32794e-08;1.85015e-10;train/device5-18.png
0.305455;0.0100848;0.00288806;0.000116986;6.05262e-08;1.1176e-05;-3.09912e-08;train/pocket-1.png
0.274471;0.0462842;4.87449e-05;8.0933e-06;1.3667e-10;1.26901e-06;8.463e-11;train/brick-01.png
0.206381;1.30808e-06;1.46211e-06;3.10543e-07;-2.02545e-13;3.16451e-10;-5.25606e-14;train/device0-13.png
0.79267;0.577184;0.0874971;0.0761262;0.00621151;0.0573987;0.000133954;train/spoon-8.png
0.334745;0.0576721;0.0284471;0.0124088;0.000233137;0.00297994;1.05207e-06;train/key-7.png
0.214085;0.0135001;0.000482057;5.97047e-05;-9.50194e-09;-6.67586e-06;3.5082e-09;train/crown-5.png
0.169109;0.00175917;7.72012e-05;3.71393e-06;6.22573e-11;1.51801e-07;-8.87913e-12;train/hat-6.png
0.254883;0.0375396;0.000334153;8.47874e-05;1.28521e-08;1.2408e-05;6.20475e-09;train/personal_car-15.png
0.342424;0.0889233;8.85097e-05;6.51364e-05;4.94491e-09;1.9068e-05;9.1019e-11;train/fish-2.png
0.251948;0.0354394;0.000895857;0.000250061;1.17052e-07;4.58328e-05;1.75142e-08;train/shoe-1.png
0.193259;0.00044261;0.00160186;9.78213e-05;-3.8179e-08;-2.0561e-06;-6.46461e-09;train/hat-11.png
0.228425;0.0218431;0.00016059;5.3763e-05;4.20061e-09;1.06697e-06;-2.70381e-09;train/Comma-14.png
0.182626;0.00132166;0.000980485;5.26542e-06;3.78145e-10;1.84297e-07;-1.18012e-11;train/teddy-11.png
0.826532;0.416069;0.336764;0.0848622;0.0143018;0.0547336;-0.00112628;train/fork-9.png
0.198507;0.00921855;0.00138749;0.000104608;-2.25011e-08;-7.7541e-06;3.28936e-08;train/HCircle-15.png
0.198623;1.70435e-07;2.30465e-10;9.08654e-09;1.20448e-17;8.09532e-13;-5.27495e-18;train/device7-3.png
0.483377;0.204223;0.00124692;0.00030383;1.40612e-07;4.90374e-05;-1.23292e-07;train/lmfish-17.png
0.794243;0.599811;0.00785943;0.00616736;4.29125e-05;0.00458039;-1.48622e-06;train/watch-17.png
0.295535;0.0291841;0.00149407;0.000210878;1.18363e-07;3.60239e-05;-1.0568e-09;train/beetle-11.png
0.275623;0.0472189;0.000237084;6.72775e-05;7.36764e-09;6.282e-06;-4.23246e-09;train/cellular_phone-4.png
